frame,x,y,w,h
430,50,170,390,187
431,50,170,390,187
432,50,170,390,187
433,50,170,390,187
434,50,170,390,187
435,50,170,390,187
436,50,170,390,187
437,50,170,390,187
438,50,170,390,187
439,50,170,390,187
440,50,170,390,187
441,50,170,390,187
442,50,170,390,187
443,50,170,390,187
444,50,170,390,187
445,50,170,390,187
446,50,170,390,187
447,50,170,390,187
448,50,170,390,187
449,50,170,390,187
